Class,Previous qualification (grade),Gender,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Region,School Type,Age,Caste,Target
4,130,1,0,10,Jetapur,Government,10,GEN,Dropout
4,100,1,11.25,0,Jetapur,Government,10,SC,Dropout
4,133.1,1,12.66666667,12,Kolat,Private,10,OBC,Dropout
4,120,1,12.36363636,12.25,Kolat,Government,10,GEN,Dropout
4,120,1,0,0,Jetapur,Government,10,SC,Dropout
4,130,0,12,11,Kolat,Private,10,GEN,Dropout
4,133.1,1,15,11.5,Jetapur,Government,10,OBC,Dropout
4,134,1,0,0,Kolat,Government,10,GEN,Dropout
4,122,1,0,0,Kolat,Government,10,SC,Dropout
4,141,1,0,0,Kolat,Government,10,SC,Dropout
4,137,0,0,0,Kolat,Private,10,OBC,Dropout
4,188,0,0,0,Kolat,Government,10,GEN,Dropout
4,127,0,0,0,Jetapur,Private,10,OBC,Dropout
4,115,0,0,0,Jetapur,Private,10,SC,Dropout
4,132,1,0,0,Jetapur,Private,10,GEN,Dropout
4,148,0,13.875,12.7,Jetapur,Government,10,OBC,Dropout
4,115,0,0,0,Kolat,Government,10,GEN,Dropout
4,147,0,0,0,Kolat,Government,10,GEN,Dropout
4,150,0,0,0,Jetapur,Government,10,SC,Dropout
4,116,0,0,0,Kolat,Private,10,GEN,Dropout
4,139,0,0,0,Jetapur,Private,10,SC,Dropout
4,110,0,11.25,11,Jetapur,Government,10,OBC,Dropout
4,145,0,0,0,Kolat,Government,10,SC,Dropout
4,136,0,0,0,Jetapur,Government,11,GEN,Dropout
4,128,1,0,0,Karsanpura,Private,11,OBC,Dropout
4,116,1,0,0,Melaj,Government,11,SC,Dropout
4,131,0,0,0,Abasna,Private,11,ST,Dropout
4,114,1,0,0,Dadhana,Government,11,GEN,Dropout
4,132,1,0,0,Jetapur,Government,11,GEN,Dropout
4,150,1,0,0,Sadra,Government,11,ST,Dropout
4,172,1,0,0,Jetapur,Government,11,OBC,Dropout
4,129,1,0,0,Abasna,Private,11,ST,Dropout
4,120,0,0,0,Jetapur,Government,11,GEN,Dropout
4,136,1,0,0,Jetapur,Government,11,GEN,Dropout
4,160,1,0,0,Sadra,Private,11,SC,Dropout
4,140,0,0,0,Sadra,Government,11,SC,Dropout
4,127,1,0,0,Bamroli,Government,11,SC,Dropout
4,138,0,0,0,Abasna,Government,11,GEN,Dropout
4,140,0,0,0,Solgam,Private,11,ST,Dropout
4,133.1,1,0,0,Kolat,Government,11,ST,Dropout
4,170,0,0,0,Sadra,Government,11,OBC,Dropout
4,136,0,0,0,Bamroli,Private,11,ST,Dropout
4,120,1,0,0,Ratanpura,Government,11,OBC,Dropout
4,129,1,0,0,Abasna,Government,11,ST,Dropout
4,124,1,0,0,Sadra,Government,11,OBC,Dropout
4,122,1,11.45454545,12.25,Jetapur,Private,11,OBC,Dropout
4,100,1,0,0,Melaj,Private,11,GEN,Dropout
4,132,1,0,0,Dadhana,Private,11,GEN,Dropout
4,126,1,0,0,Melaj,Government,11,OBC,Dropout
4,159,1,0,0,Sadra,Private,11,GEN,Dropout
4,133.1,1,0,0,Solgam,Government,11,GEN,Dropout
4,145,0,0,0,Bamroli,Government,11,GEN,Dropout
4,133.1,1,0,0,Abasna,Government,11,SC,Dropout
4,133.1,1,0,0,Melaj,Private,11,ST,Dropout
4,127,1,0,0,Sadra,Private,11,GEN,Dropout
4,133.1,1,0,0,Melaj,Government,11,GEN,Dropout
4,130,0,0,0,Sadra,Government,11,SC,Dropout
4,163,0,0,0,Jetapur,Private,11,OBC,Dropout
4,122,0,0,0,Abasna,Private,11,GEN,Dropout
4,140,0,0,0,Sadra,Government,11,GEN,Dropout
4,124,0,0,0,Melaj,Government,11,GEN,Dropout
4,180,1,0,0,Jetapur,Government,11,ST,Dropout
4,132,0,0,0,Kolat,Government,11,OBC,Dropout
4,159,0,0,0,Solgam,Government,11,GEN,Dropout
4,118,1,0,0,Abasna,Government,11,GEN,Dropout
4,138,0,0,0,Sadra,Private,11,GEN,Dropout
4,110,1,0,0,Kolat,Government,11,OBC,Dropout
4,162,1,0,0,Karsanpura,Government,11,SC,Dropout
4,140,1,0,0,Solgam,Government,11,OBC,Dropout
4,123,1,0,0,Melaj,Government,11,OBC,Dropout
4,125,1,11.64285714,11.25,Solgam,Government,11,ST,Dropout
4,130,1,0,0,Abasna,Private,11,GEN,Dropout
5,133,1,0,0,Melaj,Government,11,SC,Dropout
5,143,0,0,0,Jetapur,Government,11,OBC,Dropout
5,127,1,0,0,Jetapur,Private,11,ST,Dropout
5,129,1,0,0,Melaj,Government,11,SC,Dropout
5,160,1,0,0,Bamroli,Government,11,GEN,Dropout
5,130,1,0,0,Kolat,Government,11,OBC,Dropout
5,130,1,0,0,Kolat,Private,11,GEN,Dropout
5,129,1,0,0,Karsanpura,Government,11,SC,Dropout
5,159,1,0,0,Abasna,Private,11,GEN,Dropout
5,140,0,0,0,Sadra,Private,11,OBC,Dropout
5,140,0,0,0,Dadhana,Government,11,SC,Dropout
5,152,0,0,0,Abasna,Government,11,GEN,Dropout
